10,100,1000
689.0,692.0,692.0
696.0,696.0,696.0
674.0,677.0,677.0
671.0,674.0,674.0
685.0,686.0,686.0
692.0,692.0,692.0
673.0,675.0,675.0
682.0,686.0,686.0
681.0,683.0,683.0
689.0,689.0,689.0
678.0,679.0,679.0
687.0,689.0,689.0
685.0,686.0,686.0
676.0,679.0,679.0
680.0,680.0,680.0
674.0,681.0,681.0
692.0,692.0,692.0
682.0,682.0,682.0
691.0,691.0,691.0
677.0,679.0,679.0
683.0,685.0,685.0
686.0,688.0,688.0
691.0,691.0,691.0
682.0,688.0,688.0
676.0,681.0,681.0
679.0,681.0,681.0
680.0,681.0,681.0
678.0,682.0,682.0
658.0,665.0,665.0
691.0,691.0,691.0
681.0,684.0,684.0
681.0,682.0,682.0
668.0,670.0,670.0
666.0,671.0,671.0
664.0,669.0,669.0
683.0,684.0,684.0
674.0,677.0,677.0
688.0,689.0,689.0
684.0,685.0,685.0
674.0,678.0,678.0
676.0,681.0,681.0
689.0,689.0,689.0
671.0,676.0,676.0
666.0,670.0,670.0
684.0,684.0,684.0
681.0,685.0,685.0
696.0,696.0,696.0
682.0,683.0,683.0
698.0,698.0,698.0
682.0,683.0,683.0
679.0,683.0,683.0
673.0,677.0,677.0
684.0,685.0,685.0
682.0,684.0,684.0
688.0,688.0,688.0
680.0,681.0,681.0
668.0,673.0,673.0
679.0,681.0,681.0
684.0,685.0,685.0
692.0,692.0,692.0
686.0,687.0,687.0
687.0,687.0,687.0
688.0,688.0,688.0
690.0,692.0,692.0
676.0,679.0,679.0
686.0,687.0,687.0
695.0,695.0,695.0
678.0,681.0,681.0
674.0,677.0,677.0
693.0,693.0,693.0
677.0,681.0,681.0
686.0,686.0,686.0
684.0,687.0,687.0
678.0,681.0,681.0
696.0,696.0,696.0
694.0,694.0,694.0
677.0,679.0,679.0
682.0,682.0,682.0
676.0,679.0,679.0
680.0,682.0,682.0
687.0,687.0,687.0
680.0,684.0,684.0
690.0,690.0,690.0
688.0,689.0,689.0
693.0,693.0,693.0
675.0,676.0,676.0
698.0,698.0,698.0
680.0,682.0,682.0
685.0,686.0,686.0
697.0,697.0,697.0
685.0,687.0,687.0
688.0,690.0,690.0
674.0,676.0,676.0
684.0,684.0,684.0
672.0,677.0,677.0
676.0,681.0,681.0
688.0,688.0,688.0
684.0,685.0,685.0
683.0,683.0,683.0
679.0,683.0,683.0
